name,stars,n_reviews,lat,lng
"Tour Eiffel",4.6,161632,48.858582, 2.294492
"Musée du Louvre",4.7,145717,48.860830, 2.337612
"Cathédrale Notre-Dame de Paris",4.7,42084,48.853187, 2.349966
"Musée d'Orsay",4.7,36570,48.860131, 2.326604
"Palais Garnier, Opéra National de Paris",4.7,15727,48.872252, 2.331580
"Place de la Concorde",4.5,30840,48.865859, 2.321343
"Arc de Triomphe",4.6,98310,48.873940, 2.295124
"Seine River Cruises - Green River Cruises",4.4,33,48.841657, 2.369956
"Seine River Cruises - Bateaux Parisiens",4.3,7384,48.861651, 2.295652
"Seine River Cruises - Vedettes de Paris",4.2,3224,48.858922, 2.291774
"Seine River Cruises - Batobus Tour Eiffel",4.2,682,48.859930, 2.293217
"Seine River Cruises - River Cruise Port",4.4,62,48.860747, 2.295542
"Seine River Cruises - Bateau mouche",4.3,9934,48.864014, 2.305930
"Seine River Cruises - River Limousine",4.8,6,48.864286, 2.315273
"Seine River Cruises - Seine Avenue",5.0,8,48.858239, 2.335578
"Seine River Cruises - Vedettes du Pont Neuf",4.3,1994,48.857417, 2.340924
"Seine River Cruises - Bateaux Parisiens",4.3,116,48.852618, 2.348100
"Sainte Chapelle",4.6,14891,48.855491, 2.344987
"Le Jardin du Luxembourg",4.6,53179,48.846949, 2.336742
"Basílica del Sacré Cœur",4.7,52956,48.886705, 2.343104
"Panthéon",4.6,20274,48.846229, 2.346392
"Place de Vosges",4.6,11062,48.855611, 2.365527
"Place Vendôme",4.5,6432,48.867473, 2.329377
"Le Centre Pompidou",4.4,33658,48.860656, 2.352277
"Les Invalides",4.6,14078,48.855112, 2.312590
"Domaine National du Palais-Royal",4.6,8192,48.863781, 2.337131
"Place de Bastille",4.1,6913,48.853188, 2.369118
"Tour Saint-Jacques",4.4,1591,48.858047, 2.348886
"La Conciergerie",4.3,3019,48.856011, 2.345495
"Fondation Louis Vuitton",4.4,7811,48.876621, 2.263444
"Parc de la Villette",4.4,28613,48.893898, 2.390056
"Paris Plages",3.9,115,48.856938, 2.347888
"Cimetière du Père Lachaise",4.5,1908,48.861414, 2.393317
"Parc des Buttes-Chaumont",4.6,12856,48.880844, 2.382825
"Grand Arche of La Défense",4.3,4502,48.892598, 2.236155